
Host: moses-razer

Timers On : Thu Dec 28 16:19:32 2023
Timers Off: Thu Dec 28 16:19:36 2023

Wall Time:        3.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.002w      3 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Energy                        :      0.067u      0.000s      0.005w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:20:44 2023
Timers Off: Thu Dec 28 16:20:49 2023

Wall Time:        5.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.250u      0.133s      0.429w      3 calls
Libint2ERI::Libint2ERI              :     11.433u      0.717s      1.567w     60 calls
DFH: initialize()                   :      4.017u      0.667s      0.478w      3 calls
DFH: AO Construction                :      0.367u      0.000s      0.039w      3 calls
DFH: AO-Met. Contraction            :      0.100u      0.050s      0.012w      3 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      3 calls
HF: Guess                           :      4.783u      0.700s      0.550w      3 calls
SAD Guess                           :      4.733u      0.700s      0.544w      3 calls
HF: Form G                          :      0.317u      0.000s      0.039w     24 calls
JK: D                               :      0.017u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.300u      0.000s      0.038w     24 calls
DFH: compute_JK()                   :      0.283u      0.000s      0.037w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.033u      0.000s      0.016w     24 calls
DFH: compute_K                      :      0.250u      0.000s      0.019w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.017u      0.000s      0.001w     24 calls
HF: Form D                          :      0.017u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.800u      0.033s      0.193w     21 calls
HF: Form C                          :      0.333u      0.000s      0.029w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.800u      0.550s      1.084w      3 calls
DFMP2 (A|mn)                        :      0.350u      0.000s      0.039w      3 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.003w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.350u      0.017s      0.037w      3 calls
DFMP2 Metric                        :      0.300u      0.000s      0.032w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.033u      0.000s      0.002w      3 calls
DFMP2 Bia Write                     :      0.017u      0.017s      0.002w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.001w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.250u      0.133s      0.429w      3 calls
| Libint2ERI::Libint2ERI            :      2.917u      0.133s      0.316w      3 calls
DFH: initialize()                   :      4.017u      0.667s      0.478w      3 calls
| Libint2ERI::Libint2ERI            :      2.567u      0.133s      0.268w     21 calls
| DFH: AO Construction              :      0.367u      0.000s      0.039w      3 calls
| DFH: AO-Met. Contraction          :      0.100u      0.050s      0.012w      3 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      3 calls
HF: Guess                           :      4.783u      0.700s      0.550w      3 calls
| SAD Guess                         :      4.733u      0.700s      0.544w      3 calls
HF: Form G                          :      0.317u      0.000s      0.039w     24 calls
| JK: D                             :      0.017u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.300u      0.000s      0.038w     24 calls
| | DFH: compute_JK()               :      0.283u      0.000s      0.037w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.016w     24 calls
| | | DFH: compute_K                :      0.250u      0.000s      0.019w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.017u      0.000s      0.001w     24 calls
HF: Form D                          :      0.017u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.800u      0.033s      0.193w     21 calls
HF: Form C                          :      0.333u      0.000s      0.029w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.800u      0.550s      1.084w      3 calls
| Libint2ERI::Libint2ERI            :      5.950u      0.450s      0.981w     18 calls
| DFMP2 (A|mn)                      :      0.350u      0.000s      0.039w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.003w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.350u      0.017s      0.037w      3 calls
| DFMP2 Metric                      :      0.300u      0.000s      0.032w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.033u      0.000s      0.002w      3 calls
| DFMP2 Bia Write                   :      0.017u      0.017s      0.002w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:20:49 2023
Timers Off: Thu Dec 28 16:20:55 2023

Wall Time:        5.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.150u      0.167s      0.417w      3 calls
Libint2ERI::Libint2ERI              :     10.800u      0.733s      1.498w     60 calls
DFH: initialize()                   :      3.783u      0.583s      0.450w      3 calls
DFH: AO Construction                :      0.350u      0.000s      0.039w      3 calls
DFH: AO-Met. Contraction            :      0.133u      0.017s      0.013w      3 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      4.633u      0.617s      0.523w      3 calls
SAD Guess                           :      4.583u      0.617s      0.517w      3 calls
HF: Form G                          :      0.250u      0.017s      0.035w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     24 calls
JK: JK                              :      0.217u      0.017s      0.033w     24 calls
DFH: compute_JK()                   :      0.217u      0.017s      0.033w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.033u      0.000s      0.014w     24 calls
DFH: compute_K                      :      0.150u      0.017s      0.017w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.017u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.567u      0.017s      0.167w     21 calls
HF: Form C                          :      0.267u      0.000s      0.026w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.683u      0.567s      1.063w      3 calls
DFMP2 (A|mn)                        :      0.350u      0.000s      0.039w      3 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.003w      3 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.367u      0.000s      0.038w      3 calls
DFMP2 Metric                        :      0.317u      0.000s      0.033w      3 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.002w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
DFMP2 Bia Read                      :      0.017u      0.000s      0.001w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.150u      0.167s      0.417w      3 calls
| Libint2ERI::Libint2ERI            :      2.683u      0.167s      0.308w      3 calls
DFH: initialize()                   :      3.783u      0.583s      0.450w      3 calls
| Libint2ERI::Libint2ERI            :      2.317u      0.083s      0.245w     21 calls
| DFH: AO Construction              :      0.350u      0.000s      0.039w      3 calls
| DFH: AO-Met. Contraction          :      0.133u      0.017s      0.013w      3 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      4.633u      0.617s      0.523w      3 calls
| SAD Guess                         :      4.583u      0.617s      0.517w      3 calls
HF: Form G                          :      0.250u      0.017s      0.035w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     24 calls
| JK: JK                            :      0.217u      0.017s      0.033w     24 calls
| | DFH: compute_JK()               :      0.217u      0.017s      0.033w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.014w     24 calls
| | | DFH: compute_K                :      0.150u      0.017s      0.017w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.017u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.567u      0.017s      0.167w     21 calls
HF: Form C                          :      0.267u      0.000s      0.026w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.683u      0.567s      1.063w      3 calls
| Libint2ERI::Libint2ERI            :      5.783u      0.483s      0.945w     18 calls
| DFMP2 (A|mn)                      :      0.350u      0.000s      0.039w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.003w      3 calls
| DFMP2 (A|mi)C_na                  :      0.017u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.367u      0.000s      0.038w      3 calls
| DFMP2 Metric                      :      0.317u      0.000s      0.033w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.017u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.002w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
| DFMP2 Bia Read                    :      0.017u      0.000s      0.001w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:20:55 2023
Timers Off: Thu Dec 28 16:21:00 2023

Wall Time:        5.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.400u      0.150s      0.417w      3 calls
Libint2ERI::Libint2ERI              :     11.100u      0.617s      1.503w     60 calls
DFH: initialize()                   :      3.933u      0.633s      0.468w      3 calls
DFH: AO Construction                :      0.400u      0.000s      0.040w      3 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.014w      3 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      3 calls
HF: Guess                           :      4.600u      0.700s      0.534w      3 calls
SAD Guess                           :      4.550u      0.700s      0.529w      3 calls
HF: Form G                          :      0.350u      0.000s      0.042w     25 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     25 calls
JK: JK                              :      0.300u      0.000s      0.040w     25 calls
DFH: compute_JK()                   :      0.300u      0.000s      0.040w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.067u      0.000s      0.018w     25 calls
DFH: compute_K                      :      0.183u      0.000s      0.020w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      1.733u      0.050s      0.179w     22 calls
HF: Form C                          :      0.283u      0.017s      0.030w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.700u      0.450s      1.043w      3 calls
DFMP2 (A|mn)                        :      0.383u      0.000s      0.041w      3 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.003w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.350u      0.000s      0.037w      3 calls
DFMP2 Metric                        :      0.300u      0.000s      0.032w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.002w      3 calls
DFMP2 Bia Write                     :      0.033u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.001w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.400u      0.150s      0.417w      3 calls
| Libint2ERI::Libint2ERI            :      2.800u      0.150s      0.304w      3 calls
DFH: initialize()                   :      3.933u      0.633s      0.468w      3 calls
| Libint2ERI::Libint2ERI            :      2.467u      0.083s      0.255w     21 calls
| DFH: AO Construction              :      0.400u      0.000s      0.040w      3 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.014w      3 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      3 calls
HF: Guess                           :      4.600u      0.700s      0.534w      3 calls
| SAD Guess                         :      4.550u      0.700s      0.529w      3 calls
HF: Form G                          :      0.350u      0.000s      0.042w     25 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     25 calls
| JK: JK                            :      0.300u      0.000s      0.040w     25 calls
| | DFH: compute_JK()               :      0.300u      0.000s      0.040w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.067u      0.000s      0.018w     25 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.020w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      1.733u      0.050s      0.179w     22 calls
HF: Form C                          :      0.283u      0.017s      0.030w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.700u      0.450s      1.043w      3 calls
| Libint2ERI::Libint2ERI            :      5.833u      0.383s      0.943w     18 calls
| DFMP2 (A|mn)                      :      0.383u      0.000s      0.041w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.003w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.350u      0.000s      0.037w      3 calls
| DFMP2 Metric                      :      0.300u      0.000s      0.032w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.002w      3 calls
| DFMP2 Bia Write                   :      0.033u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:21:01 2023
Timers Off: Thu Dec 28 16:21:06 2023

Wall Time:        5.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.800u      0.183s      0.452w      3 calls
Libint2ERI::Libint2ERI              :     11.417u      0.783s      1.698w     60 calls
DFH: initialize()                   :      4.500u      0.667s      0.524w      3 calls
DFH: AO Construction                :      0.383u      0.017s      0.040w      3 calls
DFH: AO-Met. Contraction            :      0.167u      0.000s      0.015w      3 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      3 calls
HF: Guess                           :      5.300u      0.683s      0.599w      3 calls
SAD Guess                           :      5.250u      0.683s      0.593w      3 calls
HF: Form G                          :      0.400u      0.000s      0.043w     25 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     25 calls
JK: JK                              :      0.367u      0.000s      0.041w     25 calls
DFH: compute_JK()                   :      0.367u      0.000s      0.041w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.033u      0.000s      0.018w     25 calls
DFH: compute_K                      :      0.317u      0.000s      0.021w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      2.017u      0.050s      0.212w     22 calls
HF: Form C                          :      0.333u      0.000s      0.035w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.750u      0.583s      1.162w      3 calls
DFMP2 (A|mn)                        :      0.350u      0.000s      0.040w      3 calls
DFMP2 (A|mn)C_mi                    :      0.033u      0.000s      0.003w      3 calls
DFMP2 (A|mi)C_na                    :      0.050u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.383u      0.000s      0.038w      3 calls
DFMP2 Metric                        :      0.350u      0.000s      0.033w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.002w      3 calls
DFMP2 Energy                        :      0.067u      0.000s      0.005w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.001w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.800u      0.183s      0.452w      3 calls
| Libint2ERI::Libint2ERI            :      2.583u      0.167s      0.342w      3 calls
DFH: initialize()                   :      4.500u      0.667s      0.524w      3 calls
| Libint2ERI::Libint2ERI            :      2.933u      0.117s      0.305w     21 calls
| DFH: AO Construction              :      0.383u      0.017s      0.040w      3 calls
| DFH: AO-Met. Contraction          :      0.167u      0.000s      0.015w      3 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      3 calls
HF: Guess                           :      5.300u      0.683s      0.599w      3 calls
| SAD Guess                         :      5.250u      0.683s      0.593w      3 calls
HF: Form G                          :      0.400u      0.000s      0.043w     25 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     25 calls
| JK: JK                            :      0.367u      0.000s      0.041w     25 calls
| | DFH: compute_JK()               :      0.367u      0.000s      0.041w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.018w     25 calls
| | | DFH: compute_K                :      0.317u      0.000s      0.021w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      2.017u      0.050s      0.212w     22 calls
HF: Form C                          :      0.333u      0.000s      0.035w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.750u      0.583s      1.162w      3 calls
| Libint2ERI::Libint2ERI            :      5.850u      0.500s      1.051w     18 calls
| DFMP2 (A|mn)                      :      0.350u      0.000s      0.040w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.033u      0.000s      0.003w      3 calls
| DFMP2 (A|mi)C_na                  :      0.050u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.383u      0.000s      0.038w      3 calls
| DFMP2 Metric                      :      0.350u      0.000s      0.033w      3 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.017u      0.000s      0.002w      3 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Energy                        :      0.067u      0.000s      0.005w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:21:07 2023
Timers Off: Thu Dec 28 16:21:13 2023

Wall Time:        5.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.950u      0.117s      0.455w      3 calls
Libint2ERI::Libint2ERI              :     11.533u      0.750s      1.716w     60 calls
DFH: initialize()                   :      4.633u      0.600s      0.535w      3 calls
DFH: AO Construction                :      0.367u      0.017s      0.038w      3 calls
DFH: AO-Met. Contraction            :      0.117u      0.017s      0.014w      3 calls
HF: Form core H                     :      0.100u      0.017s      0.010w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.005w      3 calls
HF: Guess                           :      5.333u      0.750s      0.607w      3 calls
SAD Guess                           :      5.267u      0.750s      0.601w      3 calls
HF: Form G                          :      0.383u      0.000s      0.044w     25 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     25 calls
JK: JK                              :      0.317u      0.000s      0.042w     25 calls
DFH: compute_JK()                   :      0.317u      0.000s      0.041w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.083u      0.000s      0.018w     25 calls
DFH: compute_K                      :      0.200u      0.000s      0.021w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      1.967u      0.050s      0.210w     22 calls
HF: Form C                          :      0.367u      0.000s      0.035w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.833u      0.600s      1.176w      3 calls
DFMP2 (A|mn)                        :      0.417u      0.000s      0.043w      3 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.003w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.383u      0.017s      0.039w      3 calls
DFMP2 Metric                        :      0.317u      0.000s      0.033w      3 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia Write                     :      0.017u      0.017s      0.002w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
DFMP2 Bia Read                      :      0.017u      0.000s      0.001w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.950u      0.117s      0.455w      3 calls
| Libint2ERI::Libint2ERI            :      2.700u      0.117s      0.342w      3 calls
DFH: initialize()                   :      4.633u      0.600s      0.535w      3 calls
| Libint2ERI::Libint2ERI            :      3.000u      0.100s      0.313w     21 calls
| DFH: AO Construction              :      0.367u      0.017s      0.038w      3 calls
| DFH: AO-Met. Contraction          :      0.117u      0.017s      0.014w      3 calls
HF: Form core H                     :      0.100u      0.017s      0.010w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.005w      3 calls
HF: Guess                           :      5.333u      0.750s      0.607w      3 calls
| SAD Guess                         :      5.267u      0.750s      0.601w      3 calls
HF: Form G                          :      0.383u      0.000s      0.044w     25 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     25 calls
| JK: JK                            :      0.317u      0.000s      0.042w     25 calls
| | DFH: compute_JK()               :      0.317u      0.000s      0.041w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.018w     25 calls
| | | DFH: compute_K                :      0.200u      0.000s      0.021w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      1.967u      0.050s      0.210w     22 calls
HF: Form C                          :      0.367u      0.000s      0.035w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      6.833u      0.600s      1.176w      3 calls
| Libint2ERI::Libint2ERI            :      5.833u      0.533s      1.061w     18 calls
| DFMP2 (A|mn)                      :      0.417u      0.000s      0.043w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.003w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia                           :      0.383u      0.017s      0.039w      3 calls
| DFMP2 Metric                      :      0.317u      0.000s      0.033w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.017u      0.000s      0.002w      3 calls
| DFMP2 Bia Write                   :      0.017u      0.017s      0.002w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.005w      3 calls
| DFMP2 Bia Read                    :      0.017u      0.000s      0.001w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:21:13 2023
Timers Off: Thu Dec 28 16:21:18 2023

Wall Time:        5.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.283u      0.200s      0.401w      3 calls
Libint2ERI::Libint2ERI              :     10.883u      0.700s      1.508w     60 calls
DFH: initialize()                   :      3.883u      0.633s      0.465w      3 calls
DFH: AO Construction                :      0.450u      0.000s      0.047w      3 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.013w      3 calls
HF: Form core H                     :      0.100u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      4.617u      0.700s      0.533w      3 calls
SAD Guess                           :      4.567u      0.683s      0.528w      3 calls
HF: Form G                          :      0.283u      0.017s      0.043w     25 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     25 calls
JK: JK                              :      0.267u      0.017s      0.041w     25 calls
DFH: compute_JK()                   :      0.267u      0.017s      0.041w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.067u      0.000s      0.018w     25 calls
DFH: compute_K                      :      0.200u      0.000s      0.021w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
